name,email,gender,job,wage,password
Joe D. McDaniel,JoeDMcDaniel@armyspy.com,Male,CEO,5000,$2y$10$Bki.r.hVGWZpuVZM9T3Cp.Xm2ze68ceObL.qqqB/o0d69.Lxb2TCm
Reynaldo C. Eberly,ReynaldoCEberly@rhyta.com,Male,Intern,100,$2y$10$Bki.r.hVGWZpuVZM9T3Cp.Xm2ze68ceObL.qqqB/o0d69.Lxb2TCm
Ruth S. Greene,RuthSGreene@rhyta.com,Female,Sales,100,$2y$10$Bki.r.hVGWZpuVZM9T3Cp.Xm2ze68ceObL.qqqB/o0d69.Lxb2TCm
Johnny B. Hernandez,JohnnyBHernandez@dayrep.com,Male,Sales,100,$2y$10$Bki.r.hVGWZpuVZM9T3Cp.Xm2ze68ceObL.qqqB/o0d69.Lxb2TCm
Margaret E. Mays,MargaretEMays@dayrep.com,Female,Sales,100,$2y$10$Bki.r.hVGWZpuVZM9T3Cp.Xm2ze68ceObL.qqqB/o0d69.Lxb2TCm
Jessica C. Barron,JessicaCBarron@teleworm.us,Female,Hr,100,$2y$10$Bki.r.hVGWZpuVZM9T3Cp.Xm2ze68ceObL.qqqB/o0d69.Lxb2TCm
Bessie D. Parada,BessieDParada@jourrapide.com,Female,Hr,100,$2y$10$Bki.r.hVGWZpuVZM9T3Cp.Xm2ze68ceObL.qqqB/o0d69.Lxb2TCm
Robert A. Walborn,RobertAWalborn@jourrapide.com,Male,Hr,100,$2y$10$Bki.r.hVGWZpuVZM9T3Cp.Xm2ze68ceObL.qqqB/o0d69.Lxb2TCm
Emil H. Chambers,EmilHChambers@armyspy.com,Male,Engineer,200,$2y$10$Bki.r.hVGWZpuVZM9T3Cp.Xm2ze68ceObL.qqqB/o0d69.Lxb2TCm
Margaret B. Wilson,MargaretBWilson@armyspy.com,Female,Manager,500,$2y$10$Bki.r.hVGWZpuVZM9T3Cp.Xm2ze68ceObL.qqqB/o0d69.Lxb2TCm
